Tipo Doc,Documento,Nombre,Apellido,Mail,Fecha de colaboracion,Forma de colaboracion,Cantidad
DNI,9730534969,Myrtice,Wilbraham,mwilbraham0@imdb.com,7/23/2023,DONACION_VIANDAS,77
LC,0227602595,Eloise,Peddowe,epeddowe1@4shared.com,5/8/2024,DINERO,94
LE,0703098845,Lucie,De Carolis,ldecarolis2@cbsnews.com,7/19/2024,REDISTRIBUCION_VIANDAS,60
DNI,6692940990,Waverly,Greneham,wgreneham3@yahoo.co.jp,12/13/2023,ENTREGA_TARJETAS,40
LC,1299026753,Ralf,Crossfeld,rcrossfeld4@bing.com,12/31/2023,REDISTRIBUCION_VIANDAS,63
LE,8306677811,Payton,Balderston,pbalderston5@blogger.com,2/8/2023,DINERO,58
LC,3746551773,Godfrey,Sayers,gsayers6@etsy.com,11/1/2023,DONACION_VIANDAS,75
DNI,3697052195,Crin,Fernyhough,cfernyhough7@cocolog-nifty.com,6/2/2024,DINERO,79
LC,2520899476,Joan,Cawthry,jcawthry8@slate.com,7/28/2023,DINERO,64
LE,1214170390,Ulrick,Sidebotton,usidebotton9@buzzfeed.com,4/13/2024,DONACION_VIANDAS,61
LC,5136960612,Bron,Fulle,bfullea@eepurl.com,7/22/2024,REDISTRIBUCION_VIANDAS,73
DNI,1338734989,Silvana,Battlestone,sbattlestoneb@taobao.com,11/7/2023,DINERO,50
LE,6304164971,Addia,Dack,adackc@fema.gov,2/27/2024,REDISTRIBUCION_VIANDAS,33
LC,1652385193,Shena,Garatty,sgarattyd@spiegel.de,10/9/2023,REDISTRIBUCION_VIANDAS,9
DNI,1014931932,Daffie,Bardnam,dbardname@youtu.be,12/31/2023,ENTREGA_TARJETAS,46
DNI,1549681923,Nona,Egar,negarf@godaddy.com,4/6/2024,ENTREGA_TARJETAS,42
LE,2324978369,Lennie,Regina,lreginag@scientificamerican.com,5/29/2024,REDISTRIBUCION_VIANDAS,19
LE,1295490986,Peyton,Ehlerding,pehlerdingh@wsj.com,8/4/2023,DINERO,92
LC,9604691686,Arron,Delacourt,adelacourti@ustream.tv,4/20/2023,ENTREGA_TARJETAS,100
LC,4448898334,Lindy,Sango,lsangoj@apache.org,4/17/2024,ENTREGA_TARJETAS,65
DNI,1830281216,Drusy,Blake,dblakek@sbwire.com,4/13/2024,DINERO,11
DNI,0557903955,Chiquia,Fibbitts,cfibbittsl@wsj.com,3/10/2023,DONACION_VIANDAS,31
DNI,0700792902,Kerby,Garnson,kgarnsonm@europa.eu,7/16/2023,DINERO,32
DNI,5012705084,Frasco,Pablos,fpablosn@webs.com,6/29/2024,ENTREGA_TARJETAS,40
LC,0430254423,Andrej,Sodor,asodoro@usatoday.com,4/27/2023,DINERO,54
DNI,6453275643,Erin,Behn,ebehnp@hp.com,4/10/2023,REDISTRIBUCION_VIANDAS,9
DNI,7218765386,Vale,Wych,vwychq@typepad.com,7/28/2024,ENTREGA_TARJETAS,17
DNI,7660101013,Dewitt,Hiscocks,dhiscocksr@google.cn,1/2/2024,DINERO,12
DNI,3874406024,Glennis,Worters,gworterss@newsvine.com,3/23/2023,REDISTRIBUCION_VIANDAS,62
LE,0358707552,Packston,Gardener,pgardenert@infoseek.co.jp,3/22/2024,ENTREGA_TARJETAS,39
LE,1299601170,Mose,Gloy,mgloyu@loc.gov,3/5/2023,DINERO,27
LC,1662340362,Elisabeth,Morkham,emorkhamv@webs.com,4/24/2024,REDISTRIBUCION_VIANDAS,45
DNI,4930605792,Jo-ann,Cutcliffe,jcutcliffew@shinystat.com,1/11/2024,ENTREGA_TARJETAS,86
DNI,3500820859,Mitch,Vanyutin,mvanyutinx@ezinearticles.com,5/9/2024,DONACION_VIANDAS,8
LC,3022774990,Cord,Corteney,ccorteneyy@behance.net,6/29/2024,DONACION_VIANDAS,18
LC,3460947624,Chrisse,Statersfield,cstatersfieldz@mashable.com,5/7/2023,DONACION_VIANDAS,21
LE,0291234496,Harriot,Jenicek,hjenicek10@google.it,9/3/2023,ENTREGA_TARJETAS,9
DNI,6521190962,Nana,Haddrell,nhaddrell11@umn.edu,3/1/2023,ENTREGA_TARJETAS,96
DNI,4023371653,Ammamaria,Arkin,aarkin12@ehow.com,3/5/2024,ENTREGA_TARJETAS,63
LC,8628911502,Jedediah,Frushard,jfrushard13@google.pl,6/15/2024,DONACION_VIANDAS,17
LC,2913193250,Seth,Wasbrough,swasbrough14@etsy.com,3/10/2024,DONACION_VIANDAS,23
LE,9963503543,Roberta,Sisselot,rsisselot15@liveinternet.ru,7/29/2024,ENTREGA_TARJETAS,64
DNI,2615769022,Shay,Buxy,sbuxy16@wired.com,2/26/2023,DONACION_VIANDAS,24
DNI,9041276629,Eliza,Alleyn,ealleyn17@istockphoto.com,10/16/2023,DINERO,32
DNI,1294810995,Jameson,Bartocci,jbartocci18@nasa.gov,12/29/2023,REDISTRIBUCION_VIANDAS,83
DNI,3672927449,Alon,Lean,alean19@over-blog.com,3/6/2023,ENTREGA_TARJETAS,51
LC,6977203714,Herbie,Spears,hspears1a@live.com,3/8/2024,DONACION_VIANDAS,54
LE,9106557082,Flor,Fleetham,ffleetham1b@nps.gov,1/2/2024,DONACION_VIANDAS,11
DNI,4862326188,Nester,Tiptaft,ntiptaft1c@time.com,7/3/2024,DONACION_VIANDAS,38
LE,1331850037,Dougie,Hynam,dhynam1d@tiny.cc,8/26/2023,ENTREGA_TARJETAS,83
DNI,7225452495,Jared,Hadwin,jhadwin1e@noaa.gov,5/9/2024,REDISTRIBUCION_VIANDAS,46
LE,2093937824,Rawley,Mammatt,rmammatt1f@nhs.uk,7/22/2023,DINERO,24
LC,9239475206,Violette,Colclough,vcolclough1g@jiathis.com,4/4/2024,DONACION_VIANDAS,1
DNI,9998592089,Regina,Ferneyhough,rferneyhough1h@scribd.com,8/30/2023,REDISTRIBUCION_VIANDAS,17
DNI,5832851102,Abagael,Bensusan,abensusan1i@chicagotribune.com,9/22/2023,ENTREGA_TARJETAS,73
LE,3291949765,Tallia,Cottam,tcottam1j@sciencedaily.com,10/23/2023,ENTREGA_TARJETAS,29
LC,3934193412,Ferdy,Lundie,flundie1k@ovh.net,5/9/2023,DINERO,86
DNI,1308292163,Grove,Feeney,gfeeney1l@issuu.com,8/5/2023,ENTREGA_TARJETAS,34
LC,5366134102,Cami,Paulet,cpaulet1m@newsvine.com,2/13/2024,DONACION_VIANDAS,99
LE,1914416236,Zilvia,Mor,zmor1n@deviantart.com,11/15/2023,REDISTRIBUCION_VIANDAS,24
DNI,8677395423,Cyril,St. Quintin,cstquintin1o@tumblr.com,8/17/2024,ENTREGA_TARJETAS,5
LE,3936034052,Kynthia,O'Crigan,kocrigan1p@patch.com,4/17/2023,DINERO,70
LC,9346873337,Seward,MacCafferty,smaccafferty1q@gov.uk,10/10/2023,ENTREGA_TARJETAS,44
LE,0255227558,Darlene,Heselwood,dheselwood1r@nydailynews.com,2/18/2024,REDISTRIBUCION_VIANDAS,64
LE,4386721541,Galen,Kreber,gkreber1s@latimes.com,11/18/2023,DONACION_VIANDAS,57
DNI,8171848230,Reidar,Greenshiels,rgreenshiels1t@blog.com,9/15/2023,ENTREGA_TARJETAS,58
DNI,2632108039,Izak,Blann,iblann1u@yolasite.com,12/13/2023,REDISTRIBUCION_VIANDAS,89
DNI,4881604325,Gibbie,Timby,gtimby1v@nbcnews.com,10/30/2023,DINERO,10
DNI,1032369671,Garth,Ballinghall,gballinghall1w@yolasite.com,2/18/2023,ENTREGA_TARJETAS,73
LE,9841616602,Malorie,Suttill,msuttill1x@deviantart.com,7/4/2024,DINERO,66
LE,7566046187,Rosita,Monnelly,rmonnelly1y@guardian.co.uk,5/4/2023,REDISTRIBUCION_VIANDAS,42
LC,5088661134,Camilla,Sabater,csabater1z@cornell.edu,7/26/2023,ENTREGA_TARJETAS,20
LE,7902153184,Morna,Leijs,mleijs20@51.la,5/7/2024,ENTREGA_TARJETAS,74
LC,4177892424,Tobias,Babar,tbabar21@123-reg.co.uk,5/22/2023,ENTREGA_TARJETAS,92
DNI,4330766248,Carina,Madgett,cmadgett22@printfriendly.com,8/27/2024,REDISTRIBUCION_VIANDAS,70
DNI,9124654221,Henderson,Pretley,hpretley23@51.la,4/6/2023,DONACION_VIANDAS,51
LC,6880324037,Harvey,Mabey,hmabey24@prweb.com,7/19/2023,REDISTRIBUCION_VIANDAS,64
LE,9796627892,Wynn,Worland,wworland25@youtube.com,7/26/2024,ENTREGA_TARJETAS,21
LC,0033169195,Siobhan,Pybworth,spybworth26@shop-pro.jp,4/13/2024,ENTREGA_TARJETAS,1
LC,7198989322,Eddy,Dayment,edayment27@wsj.com,5/3/2023,DONACION_VIANDAS,71
DNI,1620260697,Adah,Ambrois,aambrois28@quantcast.com,3/9/2024,ENTREGA_TARJETAS,25
LC,4541081644,Shelli,Brettoner,sbrettoner29@exblog.jp,8/11/2023,DONACION_VIANDAS,38
LC,3794887298,Alden,Josskoviz,ajosskoviz2a@omniture.com,10/3/2023,ENTREGA_TARJETAS,7
DNI,0511001320,Renae,Shipp,rshipp2b@unesco.org,10/9/2023,DONACION_VIANDAS,99
LC,5466887803,Diannne,Seeney,dseeney2c@spiegel.de,4/12/2024,DONACION_VIANDAS,84
LE,3252277352,Winnah,Falla,wfalla2d@nsw.gov.au,5/18/2024,DONACION_VIANDAS,28
LC,0845684787,Cloe,Sarjant,csarjant2e@facebook.com,3/5/2023,ENTREGA_TARJETAS,31
LE,9973471253,Cloe,MacLleese,cmaclleese2f@meetup.com,2/5/2024,ENTREGA_TARJETAS,26
LC,5512808710,Cari,Sandcroft,csandcroft2g@state.tx.us,4/6/2024,DONACION_VIANDAS,27
DNI,2540064590,Godfrey,MacDowall,gmacdowall2h@house.gov,12/9/2023,REDISTRIBUCION_VIANDAS,24
LC,9251254893,Idalina,Jindrich,ijindrich2i@chicagotribune.com,2/3/2023,ENTREGA_TARJETAS,6
LE,2330013787,Gerik,Elmar,gelmar2j@twitter.com,5/17/2024,ENTREGA_TARJETAS,44
LC,6266341247,Maryjo,Arnoll,marnoll2k@ca.gov,6/20/2023,DINERO,33
LE,9491078860,Billie,O'Hoey,bohoey2l@cnbc.com,5/12/2023,REDISTRIBUCION_VIANDAS,97
DNI,0840625227,Miran,Meenan,mmeenan2m@home.pl,4/28/2023,DONACION_VIANDAS,22
LC,0694069442,Clarance,Girodin,cgirodin2n@google.cn,2/10/2023,ENTREGA_TARJETAS,26
LC,0046300627,Antonino,Yanshin,ayanshin2o@thetimes.co.uk,5/24/2023,REDISTRIBUCION_VIANDAS,78
LE,1377143538,Gearard,Comsty,gcomsty2p@ca.gov,8/11/2024,ENTREGA_TARJETAS,20
DNI,1638389330,Duffy,Spurgin,dspurgin2q@ihg.com,12/5/2023,DONACION_VIANDAS,66
DNI,9726664934,D'arcy,Vaney,dvaney2r@prweb.com,3/1/2023,REDISTRIBUCION_VIANDAS,1
DNI,8945776583,Irma,Totman,itotman2s@vkontakte.ru,10/20/2023,DINERO,4
